document_number,title,publication_date,effective_on,abstract,html_url
2026-04483,Ferrovanadium From the People's Republic of China and the Republic of South Africa: Continuation of Antidumping Duty Orders,2026-03-06,,As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) orders on ferrovanadium from the People's Republic of China (China) and the Republic of South Africa (South Africa) would lik,https://www.federalregister.gov/documents/2026/03/06/2026-04483/ferrovanadium-from-the-peoples-republic-of-china-and-the-republic-of-south-africa-continuation-of
2026-04412,"L-Lysine From the People's Republic of China: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination, and Extension of Provisional Measures",2026-03-06,,"The U.S. Department of Commerce (Commerce) preliminarily determines that L-lysine (lysine) from People's Republic of China (China) is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation is October 1, 2024, through March 31, 2025. Intereste",https://www.federalregister.gov/documents/2026/03/06/2026-04412/l-lysine-from-the-peoples-republic-of-china-preliminary-affirmative-determination-of-sales-at-less
2026-04405,"Certain Cold-Rolled Steel Flat Products From the Republic of Korea: Preliminary Results and Rescission, in Part, of Antidumping Administrative Review; 2023-2024",2026-03-06,,"The U.S. Department of Commerce (Commerce) preliminarily determines that certain cold-rolled steel flat products (cold-rolled steel) from the Republic of Korea (Korea) were not made at less than normal value (NV) during the period of review (POR) September 1, 2023, through August 31, 2024. In additi",https://www.federalregister.gov/documents/2026/03/06/2026-04405/certain-cold-rolled-steel-flat-products-from-the-republic-of-korea-preliminary-results-and
2026-04403,Steel Concrete Reinforcing Bar From Algeria: Final Affirmative Determination of Sales at Less Than Fair Value,2026-03-06,,"The U.S. Department of Commerce (Commerce) determines that steel concrete reinforcing bar (rebar) from Algeria is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is April 1, 2024, through March 31, 2025.",https://www.federalregister.gov/documents/2026/03/06/2026-04403/steel-concrete-reinforcing-bar-from-algeria-final-affirmative-determination-of-sales-at-less-than
2026-04347,Certain Gyro-Stabilized Electric Unicycles and Components Thereof and Products Containing the Same; Institution of Investigation,2026-03-05,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on January 21, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of Inventist, Inc. of Camas, Washington, and Alien Technology Group, Inc. d/b/a Alien Rides of San Francisco, Califor",https://www.federalregister.gov/documents/2026/03/05/2026-04347/certain-gyro-stabilized-electric-unicycles-and-components-thereof-and-products-containing-the-same
2026-04215,"Certain Magnetoresistive Random Access Memory (MRAM) Devices, Products Containing Same and Components Thereof; Notice of Institution of Investigation",2026-03-04,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on January 28, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of Avalanche Technology, Inc. of Fremont, California. An amended complaint was filed on February 5, 2026. The amended",https://www.federalregister.gov/documents/2026/03/04/2026-04215/certain-magnetoresistive-random-access-memory-mram-devices-products-containing-same-and-components
2026-04223,Overhead Door Counterbalance Torsion Springs From India: Antidumping Duty and Countervailing Duty Orders,2026-03-04,,"Based on affirmative final determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC), Commerce is issuing antidumping duty (AD) and countervailing duty (CVD) orders on overhead door counterbalance torsion springs (overhead door springs) from India",https://www.federalregister.gov/documents/2026/03/04/2026-04223/overhead-door-counterbalance-torsion-springs-from-india-antidumping-duty-and-countervailing-duty
2026-04243,Notice of Continuation and Request for Nominations for the Trade Advisory Committee on Africa,2026-03-04,,The Office of the United States Trade Representative (USTR) expects to establish a new four-year charter term and is accepting applications from qualified individuals interested in serving as a member of the Trade Advisory Committee on Africa (TACA). The TACA is a trade advisory committee that provi,https://www.federalregister.gov/documents/2026/03/04/2026-04243/notice-of-continuation-and-request-for-nominations-for-the-trade-advisory-committee-on-africa
2026-04245,Notice of Continuation and Request for Nominations for the Intergovernmental Policy Advisory Committee on Trade,2026-03-04,,The Office of the United States Trade Representative (USTR) expects to establish a new four-year charter term and is accepting applications from qualified individuals interested in serving as a member of the Intergovernmental Policy Advisory Committee on Trade (IGPAC). The IGPAC is a trade advisory ,https://www.federalregister.gov/documents/2026/03/04/2026-04245/notice-of-continuation-and-request-for-nominations-for-the-intergovernmental-policy-advisory
2026-04285,Certain Carbon and Alloy Steel Cut-to-Length Plate From the Federal Republic of Germany: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-04,,"The U.S. Department of Commerce (Commerce) determines that certain carbon and alloy steel cut-to-length plate (CTL plate) from the Federal Republic of Germany (Germany) was not sold in the United States at less than normal value during the period of review (POR) May 1, 2023, through April 30, 2024.",https://www.federalregister.gov/documents/2026/03/04/2026-04285/certain-carbon-and-alloy-steel-cut-to-length-plate-from-the-federal-republic-of-germany-final
2026-04197,Certain Freight Rail Couplers and Parts Thereof from India: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination with Final Antidumping Duty Determination,2026-03-03,,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of certain freight rail couplers and parts thereof (freight rail couplers) from India. The period of investigation is April 1, 2024, through March 31, 2025",https://www.federalregister.gov/documents/2026/03/03/2026-04197/certain-freight-rail-couplers-and-parts-thereof-from-india-preliminary-affirmative-countervailing
2026-04152,Certain Disposable and Other Closed-System Electronic Nicotine Delivery Systems (Ends) Devices and Components Thereof; Notice of Institution of Investigation,2026-03-03,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on January 13, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of R.J. Reynolds Tobacco Company of Winston-Salem, North Carolina; R.J. Reynolds Vapor Company of Winston-Salem, Nort",https://www.federalregister.gov/documents/2026/03/03/2026-04152/certain-disposable-and-other-closed-system-electronic-nicotine-delivery-systems-ends-devices-and
2026-04156,"Certain Cameras, Camera Systems, and Accessories Used Therewith; Notice of the Commission's Final Determination Finding a Violation of Section 337; Issuance of Remedial Orders; Termination of the Investigation",2026-03-03,,"Notice is hereby given that the U.S. International Trade Commission has determined to find a violation of section 337 of the Tariff Act of 1930, as amended, with respect to U.S. Design Patent No. D789,435 (""the D'435 patent"") in the above-captioned investigation, and to find no violation of section ",https://www.federalregister.gov/documents/2026/03/03/2026-04156/certain-cameras-camera-systems-and-accessories-used-therewith-notice-of-the-commissions-final
2026-04068,Phosphate Fertilizers From Morocco and Russia; Institution of Five-Year Reviews,2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing duty orders on phosphate fertilizers from Morocco and Rusia would be likely to lead to continuation or recurrence of material injury",https://www.federalregister.gov/documents/2026/03/02/2026-04068/phosphate-fertilizers-from-morocco-and-russia-institution-of-five-year-reviews
2026-03999,Certain Hot-Rolled Steel Flat Products From the Netherlands: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-02,,"The U.S. Department of Commerce (Commerce) determines that the producer and exporter subject to this administrative review made sales of subject merchandise at less than normal value during the period of review (POR) October 1, 2023, through September 30, 2024.",https://www.federalregister.gov/documents/2026/03/02/2026-03999/certain-hot-rolled-steel-flat-products-from-the-netherlands-final-results-of-antidumping-duty
